03-10-2015 12-56-59
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
12	5	0	72	0	0	558.5048690654041
12	5	1	28	0	0	558.5048690654041
6	2	0	79	0	0	560.1401162418287
6	2	1	21	0	0	560.1401162418287
6	11	0	72	0	0	562.6968028893499
6	11	1	28	0	0	562.6968028893499
14	10	0	76	0	0	593.6980691280004
14	10	1	24	0	0	593.6980691280004
10	9	0	82	0	0	607.3973119461231
10	9	1	18	0	0	607.3973119461231
12	9	0	82	0	0	610.6045120933634
12	9	1	18	0	0	610.6045120933634
14	3	0	80	0	0	620.6461315602834
14	3	1	20	0	0	620.6461315602834
2	6	0	79	0	0	622.9883246839738
2	6	1	21	0	0	622.9883246839738
11	7	0	80	0	0	626.1387054685439
11	7	1	20	0	0	626.1387054685439
2	12	0	72	0	0	626.4418238838201
2	12	1	28	0	0	626.4418238838201
6	12	0	78	0	0	628.8507960758417
6	12	1	22	0	0	628.8507960758417
14	7	0	82	0	0	630.4128293100624
14	7	1	18	0	0	630.4128293100624
3	4	0	83	0	0	632.8256898235984
3	4	1	17	0	0	632.8256898235984
10	4	0	79	0	0	634.9940562021175
10	4	1	21	0	0	634.9940562021175
7	11	0	83	0	0	635.7589240946558
7	11	1	17	0	0	635.7589240946558
12	2	0	85	0	0	637.2294422965533
12	2	1	15	0	0	637.2294422965533
10	3	0	80	0	0	640.0832352397373
10	3	1	20	0	0	640.0832352397373
2	3	0	78	0	0	643.6057015156974
2	3	1	22	0	0	643.6057015156974
12	7	0	86	0	0	645.6017288381797
12	7	1	14	0	0	645.6017288381797
5	12	0	86	0	0	647.2981351137528
5	12	1	14	0	0	647.2981351137528
4	1	0	80	0	0	649.8401687422718
4	1	1	20	0	0	649.8401687422718
3	6	0	83	0	0	650.4175179911642
3	6	1	17	0	0	650.4175179911642
13	10	0	80	0	0	650.8203498340149
13	10	1	20	0	0	650.8203498340149
5	1	0	78	0	0	651.0152054500678
5	1	1	22	0	0	651.0152054500678
4	10	0	82	0	0	651.3812151191962
4	10	1	18	0	0	651.3812151191962
5	14	0	83	0	0	651.7508305464277
5	14	1	17	0	0	651.7508305464277
13	11	0	77	0	0	653.9480137342789
13	11	1	23	0	0	653.9480137342789
14	6	0	86	0	0	654.9496202085123
14	6	1	14	0	0	654.9496202085123
6	3	0	75	0	0	655.2890584491892
6	3	1	25	0	0	655.2890584491892
14	9	0	80	0	0	655.9480414181216
14	9	1	20	1	1	655.9480414181216
12	14	0	77	0	0	659.5365782405
12	14	1	23	0	0	659.5365782405
7	1	0	85	0	0	661.8310790057208
7	1	1	15	0	0	661.8310790057208
1	3	0	86	0	0	662.2739868610342
1	3	1	14	0	0	662.2739868610342
8	10	0	75	0	0	662.4789335972698
8	10	1	25	0	0	662.4789335972698
7	6	0	86	0	0	666.0380681381994
7	6	1	14	0	0	666.0380681381994
13	7	0	82	0	0	669.999028839741
13	7	1	18	0	0	669.999028839741
4	7	0	80	0	0	671.2161859151486
4	7	1	20	0	0	671.2161859151486
6	13	0	82	0	0	671.4626962397185
6	13	1	18	0	0	671.4626962397185
7	13	0	83	0	0	671.9798631193953
7	13	1	17	0	0	671.9798631193953
5	11	0	77	0	0	673.3915860754357
5	11	1	23	0	0	673.3915860754357
2	13	0	80	0	0	673.4086602926566
2	13	1	20	0	0	673.4086602926566
13	5	0	79	0	0	675.2713324046462
13	5	1	21	0	0	675.2713324046462
7	3	0	83	0	0	675.4037489536013
7	3	1	17	0	0	675.4037489536013
9	2	0	87	0	0	676.3933076191763
9	2	1	13	0	0	676.3933076191763
14	8	0	79	0	0	676.6892150068885
14	8	1	21	0	0	676.6892150068885
11	3	0	73	0	0	678.1189456839498
11	3	1	27	0	0	678.1189456839498
10	11	0	75	0	0	678.4350548981613
10	11	1	25	0	0	678.4350548981613
9	3	0	76	0	0	678.518852416466
9	3	1	24	0	0	678.518852416466
5	2	0	80	0	0	679.3024630114589
5	2	1	20	0	0	679.3024630114589
14	11	0	79	0	0	680.0874290066963
14	11	1	21	0	0	680.0874290066963
12	11	0	84	0	0	680.3975027806748
12	11	1	16	0	0	680.3975027806748
8	11	0	81	0	0	681.661787951704
8	11	1	19	0	0	681.661787951704
1	10	0	79	0	0	683.0012502046924
1	10	1	21	0	0	683.0012502046924
4	5	0	84	0	0	684.045480832631
4	5	1	16	0	0	684.045480832631
5	13	0	66	0	0	684.2696903398346
5	13	1	34	0	0	684.2696903398346
1	4	0	85	0	0	685.2584697961441
1	4	1	15	0	0	685.2584697961441
9	10	0	78	0	0	685.3146535713462
9	10	1	22	0	0	685.3146535713462
13	3	0	79	0	0	686.4405792370065
13	3	1	21	0	0	686.4405792370065
3	12	0	88	0	0	686.4498839171863
3	12	1	12	0	0	686.4498839171863
3	8	0	83	0	0	689.0281400058582
3	8	1	17	0	0	689.0281400058582
8	9	0	79	0	0	689.9045463848786
8	9	1	21	0	0	689.9045463848786
7	14	0	88	0	0	690.9378248281618
7	14	1	12	0	0	690.9378248281618
3	10	0	80	0	0	691.9929201584804
3	10	1	20	0	0	691.9929201584804
6	14	0	82	0	0	693.8739311028645
6	14	1	18	0	0	693.8739311028645
1	9	0	80	0	0	694.3987167331509
1	9	1	20	0	0	694.3987167331509
14	2	0	81	0	0	694.4908424322725
14	2	1	19	0	0	694.4908424322725
7	4	0	82	0	0	695.5269720710147
7	4	1	18	0	0	695.5269720710147
11	2	0	86	0	0	695.5926291450713
11	2	1	14	0	0	695.5926291450713
13	8	0	70	0	0	696.9642117930802
13	8	1	30	0	0	696.9642117930802
5	6	0	89	0	0	698.2213906812322
5	6	1	11	0	0	698.2213906812322
11	6	0	83	0	0	698.4587070514118
11	6	1	17	0	0	698.4587070514118
6	9	0	76	0	0	699.8941586747268
6	9	1	24	0	0	699.8941586747268
9	5	0	81	0	0	700.8025250830975
9	5	1	19	0	0	700.8025250830975
2	1	0	79	0	0	702.5131515526176
2	1	1	21	0	0	702.5131515526176
12	3	0	80	0	0	703.0021235543487
12	3	1	20	0	0	703.0021235543487
13	14	0	82	0	0	703.6129844104647
13	14	1	18	0	0	703.6129844104647
11	4	0	72	0	0	704.9912878705286
11	4	1	28	0	0	704.9912878705286
10	7	0	80	0	0	706.498540717464
10	7	1	20	0	0	706.498540717464
1	2	0	74	0	0	707.2905278215895
1	2	1	26	0	0	707.2905278215895
5	3	0	75	0	0	707.4241750031779
5	3	1	25	0	0	707.4241750031779
2	4	0	80	0	0	709.1265895372303
2	4	1	20	0	0	709.1265895372303
13	6	0	75	0	0	709.9819974557671
13	6	1	25	0	0	709.9819974557671
9	14	0	82	0	0	713.5712017280999
9	14	1	18	0	0	713.5712017280999
7	2	0	79	0	0	713.5734582139371
7	2	1	21	0	0	713.5734582139371
4	14	0	76	0	0	713.9925520014408
4	14	1	24	0	0	713.9925520014408
8	4	0	78	0	0	714.5037872321092
8	4	1	22	0	0	714.5037872321092
3	1	0	89	0	0	715.1788305361208
3	1	1	11	0	0	715.1788305361208
3	11	0	73	0	0	717.0285397910615
3	11	1	27	0	0	717.0285397910615
1	11	0	87	0	0	718.4368804758147
1	11	1	13	0	0	718.4368804758147
14	13	0	79	0	0	719.2613096658102
14	13	1	21	0	0	719.2613096658102
13	4	0	87	0	0	720.7426974941844
13	4	1	13	0	0	720.7426974941844
1	12	0	79	0	0	721.7814138194188
1	12	1	21	0	0	721.7814138194188
2	9	0	78	0	0	722.2462837851676
2	9	1	22	0	0	722.2462837851676
3	9	0	79	0	0	722.9356426022467
3	9	1	21	0	0	722.9356426022467
6	10	0	74	0	0	723.5421390290232
6	10	1	26	0	0	723.5421390290232
7	8	0	78	0	0	725.4941287324436
7	8	1	22	0	0	725.4941287324436
6	4	0	71	0	0	725.651929879017
6	4	1	29	0	0	725.651929879017
4	11	0	83	0	0	726.4896489289725
4	11	1	17	0	0	726.4896489289725
14	5	0	78	0	0	727.5771503169052
14	5	1	22	0	0	727.5771503169052
9	7	0	82	0	0	729.4111659965745
9	7	1	18	0	0	729.4111659965745
7	9	0	77	0	0	731.3748694590333
7	9	1	23	0	0	731.3748694590333
7	10	0	86	0	0	731.4971799818917
7	10	1	14	0	0	731.4971799818917
8	2	0	80	0	0	731.9102294105343
8	2	1	20	0	0	731.9102294105343
1	14	0	87	0	0	732.3028549348503
1	14	1	13	0	0	732.3028549348503
9	12	0	71	0	0	734.2861008553424
9	12	1	29	0	0	734.2861008553424
14	1	0	79	0	0	738.025818120668
14	1	1	21	0	0	738.025818120668
2	10	0	78	0	0	740.2394993716108
2	10	1	22	0	0	740.2394993716108
10	14	0	82	0	0	740.4880560438388
10	14	1	18	0	0	740.4880560438388
4	9	0	77	0	0	744.2097408674392
4	9	1	23	0	0	744.2097408674392
14	4	0	80	0	0	744.8674427131012
14	4	1	20	0	0	744.8674427131012
8	1	0	71	0	0	745.1840667748733
8	1	1	29	0	0	745.1840667748733
9	6	0	83	0	0	745.2626859269233
9	6	1	17	0	0	745.2626859269233
9	4	0	83	0	0	748.9573899845659
9	4	1	17	0	0	748.9573899845659
3	2	0	85	0	0	749.1569348356346
3	2	1	15	0	0	749.1569348356346
3	5	0	84	0	0	749.3484270601343
3	5	1	16	0	0	749.3484270601343
5	8	0	82	0	0	750.1517387691299
5	8	1	18	0	0	750.1517387691299
10	2	0	82	0	0	750.4693307771748
10	2	1	18	0	0	750.4693307771748
11	5	0	77	0	0	752.7452925162278
11	5	1	23	0	0	752.7452925162278
8	3	0	83	0	0	754.3395377915996
8	3	1	17	0	0	754.3395377915996
10	8	0	83	0	0	756.7905542576315
10	8	1	17	0	0	756.7905542576315
9	8	0	77	0	0	757.7599038975908
9	8	1	23	0	0	757.7599038975908
1	13	0	80	0	0	758.7882920511717
1	13	1	20	0	0	758.7882920511717
2	14	0	75	0	0	760.6287804401043
2	14	1	25	0	0	760.6287804401043
5	7	0	80	0	0	760.9953582208586
5	7	1	20	0	0	760.9953582208586
12	13	0	80	0	0	761.0934839450645
12	13	1	20	0	0	761.0934839450645
5	4	0	74	0	0	761.5497242079575
5	4	1	26	0	0	761.5497242079575
6	5	0	75	0	0	762.2405840396187
6	5	1	25	0	0	762.2405840396187
12	4	0	82	0	0	762.9672061366075
12	4	1	18	0	0	762.9672061366075
13	2	0	75	0	0	763.9636459253721
13	2	1	25	0	0	763.9636459253721
5	9	0	77	0	0	771.6051178778189
5	9	1	23	0	0	771.6051178778189
13	9	0	81	0	0	772.1849133320874
13	9	1	19	0	0	772.1849133320874
4	3	0	85	0	0	773.6163337208487
4	3	1	15	0	0	773.6163337208487
12	8	0	77	0	0	775.2524548348271
12	8	1	23	0	0	775.2524548348271
8	7	0	78	0	0	776.0652049081177
8	7	1	22	0	0	776.0652049081177
12	10	0	84	0	0	776.1175810703597
12	10	1	16	0	0	776.1175810703597
13	1	0	80	0	0	777.761533414266
13	1	1	20	0	0	777.761533414266
14	12	0	79	0	0	779.0647653807266
14	12	1	21	0	0	779.0647653807266
1	5	0	83	0	0	779.2341760306275
1	5	1	17	0	0	779.2341760306275
11	1	0	80	0	0	780.9286644287105
11	1	1	20	0	0	780.9286644287105
4	2	0	73	0	0	781.3024489558538
4	2	1	27	0	0	781.3024489558538
9	1	0	76	0	0	781.4063232721635
9	1	1	24	0	0	781.4063232721635
10	6	0	77	0	0	781.6968780837572
10	6	1	23	0	0	781.6968780837572
10	13	0	84	0	0	784.9190916670195
10	13	1	16	0	0	784.9190916670195
3	14	0	82	0	0	785.612299699559
3	14	1	18	0	0	785.612299699559
10	12	0	81	0	0	787.4995066895175
10	12	1	19	0	0	787.4995066895175
6	8	0	78	0	0	787.9792496128831
6	8	1	22	0	0	787.9792496128831
4	6	0	80	0	0	790.9203105293132
4	6	1	20	1	1	790.9203105293132
2	11	0	86	0	0	792.6167963162109
2	11	1	14	1	1	792.6167963162109
11	13	0	88	0	0	795.9229223835166
11	13	1	12	0	0	795.9229223835166
3	13	0	74	0	0	804.4937777696213
3	13	1	26	0	0	804.4937777696213
7	5	0	80	0	0	806.045017777153
7	5	1	20	0	0	806.045017777153
4	13	0	77	0	0	810.5712055579485
4	13	1	23	0	0	810.5712055579485
7	12	0	77	0	0	812.0827042737045
7	12	1	23	0	0	812.0827042737045
11	8	0	75	0	0	812.452063041066
11	8	1	25	0	0	812.452063041066
3	7	0	77	0	0	812.6088261059913
3	7	1	23	0	0	812.6088261059913
4	12	0	82	0	0	813.1225168530493
4	12	1	18	0	0	813.1225168530493
12	1	0	85	0	0	816.3893865578699
12	1	1	15	0	0	816.3893865578699
2	8	0	82	0	0	818.0509078373989
2	8	1	18	0	0	818.0509078373989
10	1	0	82	0	0	819.3478327475297
10	1	1	18	0	0	819.3478327475297
2	5	0	79	0	0	820.0327935843812
2	5	1	21	0	0	820.0327935843812
10	5	0	74	0	0	822.8445855436814
10	5	1	26	0	0	822.8445855436814
8	13	0	79	0	0	825.7051939917901
8	13	1	21	0	0	825.7051939917901
8	14	0	76	0	0	825.7582453884177
8	14	1	24	0	0	825.7582453884177
1	8	0	86	0	0	826.4795138079776
1	8	1	14	0	0	826.4795138079776
6	7	0	77	0	0	827.704694645114
6	7	1	23	0	0	827.704694645114
9	11	0	75	0	0	828.5290454193231
9	11	1	25	0	0	828.5290454193231
11	14	0	78	0	0	828.5619602779524
11	14	1	22	0	0	828.5619602779524
2	7	0	81	0	0	831.9497589643145
2	7	1	19	0	0	831.9497589643145
4	8	0	84	0	0	835.3504611198216
4	8	1	16	0	0	835.3504611198216
5	10	0	76	0	0	838.3674626584594
5	10	1	24	0	0	838.3674626584594
