03-10-2015 12-58-28
Fiber utilization

Fiber	Requests	SimTime	Utilization(%)
10 11	1000	29.747110260450896	0.06	0.06
11 9	1000	29.747110260450896	0.29	0.29
2 12	1000	29.747110260450896	0.32	0.32
14 1	1000	29.747110260450896	0.22	0.22
13 1	1000	29.747110260450896	0.25	0.25
1 14	1000	29.747110260450896	0.2	0.2
11 10	1000	29.747110260450896	0.15	0.15
1 13	1000	29.747110260450896	0.27	0.27
2 1	1000	29.747110260450896	0.15	0.15
1 2	1000	29.747110260450896	0.17	0.17
9 11	1000	29.747110260450896	0.24	0.24
3 13	1000	29.747110260450896	0.34	0.34
12 3	1000	29.747110260450896	0.25	0.25
8 3	1000	29.747110260450896	0.13	0.13
3 12	1000	29.747110260450896	0.21	0.21
3 8	1000	29.747110260450896	0.21	0.21
14 2	1000	29.747110260450896	0.14	0.14
12 2	1000	29.747110260450896	0.34	0.34
2 14	1000	29.747110260450896	0.15	0.15
9 4	1000	29.747110260450896	0.13	0.13
13 3	1000	29.747110260450896	0.37	0.37
4 9	1000	29.747110260450896	0.27	0.27
4 12	1000	29.747110260450896	0.2	0.2
10 4	1000	29.747110260450896	0.17	0.17
4 10	1000	29.747110260450896	0.14	0.14
9 7	1000	29.747110260450896	0.33	0.33
7 10	1000	29.747110260450896	0.16	0.16
10 7	1000	29.747110260450896	0.15	0.15
7 13	1000	29.747110260450896	0.4	0.4
6 14	1000	29.747110260450896	0.28	0.28
11 6	1000	29.747110260450896	0.32	0.32
7 9	1000	29.747110260450896	0.35	0.35
14 6	1000	29.747110260450896	0.32	0.32
6 8	1000	29.747110260450896	0.23	0.23
12 5	1000	29.747110260450896	0.27	0.27
12 4	1000	29.747110260450896	0.34	0.34
8 6	1000	29.747110260450896	0.19	0.19
6 11	1000	29.747110260450896	0.59	0.59
5 11	1000	29.747110260450896	0.16	0.16
11 5	1000	29.747110260450896	0.22	0.22
5 12	1000	29.747110260450896	0.24	0.24
13 7	1000	29.747110260450896	0.43	0.43
10 11	1000	60.38892375970391	0.14	0.14
11 9	1000	60.38892375970391	0.42	0.42
2 12	1000	60.38892375970391	0.35	0.35
14 1	1000	60.38892375970391	0.1	0.1
13 1	1000	60.38892375970391	0.32	0.32
1 14	1000	60.38892375970391	0.22	0.22
11 10	1000	60.38892375970391	0.12	0.12
1 13	1000	60.38892375970391	0.35	0.35
2 1	1000	60.38892375970391	0.15	0.15
1 2	1000	60.38892375970391	0.24	0.24
9 11	1000	60.38892375970391	0.21	0.21
3 13	1000	60.38892375970391	0.28	0.28
12 3	1000	60.38892375970391	0.27	0.27
8 3	1000	60.38892375970391	0.14	0.14
3 12	1000	60.38892375970391	0.21	0.21
3 8	1000	60.38892375970391	0.25	0.25
14 2	1000	60.38892375970391	0.28	0.28
12 2	1000	60.38892375970391	0.27	0.27
2 14	1000	60.38892375970391	0.13	0.13
9 4	1000	60.38892375970391	0.19	0.19
13 3	1000	60.38892375970391	0.36	0.36
4 9	1000	60.38892375970391	0.19	0.19
4 12	1000	60.38892375970391	0.27	0.27
10 4	1000	60.38892375970391	0.18	0.18
4 10	1000	60.38892375970391	0.11	0.11
9 7	1000	60.38892375970391	0.25	0.25
7 10	1000	60.38892375970391	0.11	0.11
10 7	1000	60.38892375970391	0.14	0.14
7 13	1000	60.38892375970391	0.31	0.31
6 14	1000	60.38892375970391	0.27	0.27
11 6	1000	60.38892375970391	0.39	0.39
7 9	1000	60.38892375970391	0.26	0.26
14 6	1000	60.38892375970391	0.33	0.33
6 8	1000	60.38892375970391	0.28	0.28
12 5	1000	60.38892375970391	0.3	0.3
12 4	1000	60.38892375970391	0.39	0.39
8 6	1000	60.38892375970391	0.34	0.34
6 11	1000	60.38892375970391	0.51	0.51
5 11	1000	60.38892375970391	0.21	0.21
11 5	1000	60.38892375970391	0.17	0.17
5 12	1000	60.38892375970391	0.29	0.29
13 7	1000	60.38892375970391	0.39	0.39
10 11	1000	90.32792994706803	0.13	0.13
11 9	1000	90.32792994706803	0.35	0.35
2 12	1000	90.32792994706803	0.37	0.37
14 1	1000	90.32792994706803	0.31	0.31
13 1	1000	90.32792994706803	0.18	0.18
1 14	1000	90.32792994706803	0.08	0.08
11 10	1000	90.32792994706803	0.18	0.18
1 13	1000	90.32792994706803	0.21	0.21
2 1	1000	90.32792994706803	0.12	0.12
1 2	1000	90.32792994706803	0.09	0.09
9 11	1000	90.32792994706803	0.36	0.36
3 13	1000	90.32792994706803	0.15	0.15
12 3	1000	90.32792994706803	0.2	0.2
8 3	1000	90.32792994706803	0.18	0.18
3 12	1000	90.32792994706803	0.11	0.11
3 8	1000	90.32792994706803	0.23	0.23
14 2	1000	90.32792994706803	0.17	0.17
12 2	1000	90.32792994706803	0.24	0.24
2 14	1000	90.32792994706803	0.17	0.17
9 4	1000	90.32792994706803	0.15	0.15
13 3	1000	90.32792994706803	0.22	0.22
4 9	1000	90.32792994706803	0.3	0.3
4 12	1000	90.32792994706803	0.38	0.38
10 4	1000	90.32792994706803	0.26	0.26
4 10	1000	90.32792994706803	0.09	0.09
9 7	1000	90.32792994706803	0.33	0.33
7 10	1000	90.32792994706803	0.1	0.1
