03-10-2015 13-33-06
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
12	5	0	72	0	0	335.102433527835
12	5	1	28	0	0	335.102433527835
6	2	0	79	0	0	336.08358040513355
6	2	1	21	0	0	336.08358040513355
6	11	0	72	0	0	337.6175901601177
6	11	1	28	5	5	337.6175901601177
14	10	0	76	0	0	356.2183228205157
14	10	1	24	9	9	356.2183228205157
10	9	0	82	0	0	364.4378565436928
10	9	1	18	0	0	364.4378565436928
12	9	0	82	0	0	366.36217383021784
12	9	1	18	0	0	366.36217383021784
14	3	0	80	0	0	372.38713673798344
14	3	1	20	4	4	372.38713673798344
2	6	0	79	0	0	373.79245056605146
2	6	1	21	0	0	373.79245056605146
11	7	0	80	0	0	375.68267628461126
11	7	1	20	0	0	375.68267628461126
2	12	0	72	0	0	375.86454706897274
2	12	1	28	1	1	375.86454706897274
6	12	0	78	0	0	377.3099282797003
6	12	1	22	5	5	377.3099282797003
14	7	0	82	0	0	378.24714685563663
14	7	1	18	0	0	378.24714685563663
3	4	0	83	0	0	379.69486105587686
3	4	1	17	1	1	379.69486105587686
10	4	0	79	0	0	380.9958789886969
10	4	1	21	0	0	380.9958789886969
7	11	0	83	0	0	381.4547990560291
7	11	1	17	0	0	381.4547990560291
12	2	0	85	0	0	382.3371086925188
12	2	1	15	0	0	382.3371086925188
10	3	0	80	0	0	384.0493819653479
10	3	1	20	0	0	384.0493819653479
2	3	0	78	0	0	386.16285865368775
2	3	1	22	0	0	386.16285865368775
12	7	0	86	0	0	387.3604733034419
12	7	1	14	0	0	387.3604733034419
5	12	0	86	0	0	388.3783155867999
5	12	1	14	0	0	388.3783155867999
4	1	0	80	0	0	389.9035335431847
4	1	1	20	0	0	389.9035335431847
3	6	0	83	0	0	390.2499425881462
3	6	1	17	0	0	390.2499425881462
13	10	0	80	0	0	390.49164134194126
13	10	1	20	0	0	390.49164134194126
5	1	0	78	0	0	390.60855454134594
5	1	1	22	1	1	390.60855454134594
4	10	0	82	0	0	390.82816002307703
4	10	1	18	0	0	390.82816002307703
5	14	0	83	0	0	391.04992895651776
5	14	1	17	1	1	391.04992895651776
13	11	0	77	0	0	392.3682369497638
13	11	1	23	1	1	392.3682369497638
14	6	0	86	0	0	392.9691999592977
14	6	1	14	1	1	392.9691999592977
6	3	0	75	0	0	393.17286260716935
6	3	1	25	0	0	393.17286260716935
14	9	0	80	0	0	393.56825181283983
14	9	1	20	3	3	393.56825181283983
12	14	0	77	0	0	395.72137077131083
12	14	1	23	0	0	395.72137077131083
7	1	0	85	0	0	397.0980692259609
7	1	1	15	0	0	397.0980692259609
1	3	0	86	0	0	397.3638135522233
1	3	1	14	0	0	397.3638135522233
8	10	0	75	0	0	397.48678141492377
8	10	1	25	4	4	397.48678141492377
7	6	0	86	0	0	399.6222590302107
7	6	1	14	2	2	399.6222590302107
13	7	0	82	0	0	401.9988319908299
13	7	1	18	1	1	401.9988319908299
4	7	0	80	0	0	402.72912517276285
4	7	1	20	0	0	402.72912517276285
6	13	0	82	0	0	402.877031152152
6	13	1	18	0	0	402.877031152152
7	13	0	83	0	0	403.18733082815976
7	13	1	17	0	0	403.18733082815976
5	11	0	77	0	0	404.03436336849836
5	11	1	23	0	0	404.03436336849836
2	13	0	80	0	0	404.0446078839156
2	13	1	20	0	0	404.0446078839156
13	5	0	79	0	0	405.1622095238739
13	5	1	21	0	0	405.1622095238739
7	3	0	83	0	0	405.2416593375671
7	3	1	17	0	0	405.2416593375671
9	2	0	87	0	0	405.83539367243185
9	2	1	13	0	0	405.83539367243185
14	8	0	79	0	0	406.0129378465531
14	8	1	21	1	1	406.0129378465531
11	3	0	73	0	0	406.87077500377245
11	3	1	27	5	5	406.87077500377245
10	11	0	75	0	0	407.06044025614574
10	11	1	25	0	0	407.06044025614574
9	3	0	76	0	0	407.1107186939239
9	3	1	24	0	0	407.1107186939239
5	2	0	80	0	0	407.58088436635387
5	2	1	20	0	0	407.58088436635387
14	11	0	79	0	0	408.0518632777486
14	11	1	21	5	5	408.0518632777486
12	11	0	84	0	0	408.23790727125424
12	11	1	16	0	0	408.23790727125424
8	11	0	81	0	0	408.99647726938963
8	11	1	19	4	4	408.99647726938963
1	10	0	79	0	0	409.80015345102345
1	10	1	21	0	0	409.80015345102345
4	5	0	84	0	0	410.4266909155448
4	5	1	16	0	0	410.4266909155448
5	13	0	66	0	0	410.56121642399575
5	13	1	34	0	0	410.56121642399575
1	4	0	85	0	0	411.15448323398124
1	4	1	15	2	2	411.15448323398124
9	10	0	78	0	0	411.1881934500211
9	10	1	22	0	0	411.1881934500211
13	3	0	79	0	0	411.86374786580495
13	3	1	21	0	0	411.86374786580495
3	12	0	88	0	0	411.8693306657843
3	12	1	12	0	0	411.8693306657843
3	8	0	83	0	0	413.41628206661574
3	8	1	17	0	0	413.41628206661574
8	9	0	79	0	0	413.9421251283978
8	9	1	21	3	3	413.9421251283978
7	14	0	88	0	0	414.5620912916914
7	14	1	12	0	0	414.5620912916914
3	10	0	80	0	0	415.1951475681488
3	10	1	20	0	0	415.1951475681488
6	14	0	82	0	0	416.32375249152255
6	14	1	18	0	0	416.32375249152255
1	9	0	80	0	0	416.6386234112402
1	9	1	20	0	0	416.6386234112402
14	2	0	81	0	0	416.69389875023205
14	2	1	19	0	0	416.69389875023205
7	4	0	82	0	0	417.31557562831136
7	4	1	18	0	0	417.31557562831136
11	2	0	86	0	0	417.35496981538694
11	2	1	14	3	3	417.35496981538694
13	8	0	70	0	0	418.1779182059745
13	8	1	30	0	0	418.1779182059745
5	6	0	89	0	0	418.93222444058995
5	6	1	11	0	0	418.93222444058995
11	6	0	83	0	0	419.07461405537765
11	6	1	17	0	0	419.07461405537765
6	9	0	76	0	0	419.93588377535235
6	9	1	24	4	4	419.93588377535235
9	5	0	81	0	0	420.4809028268243
9	5	1	19	0	0	420.4809028268243
2	1	0	79	0	0	421.50727721412784
2	1	1	21	0	0	421.50727721412784
12	3	0	80	0	0	421.8006599879989
12	3	1	20	0	0	421.8006599879989
13	14	0	82	0	0	422.167175968019
13	14	1	18	0	0	422.167175968019
11	4	0	72	0	0	422.99415683996705
11	4	1	28	0	0	422.99415683996705
10	7	0	80	0	0	423.8985072313881
10	7	1	20	0	0	423.8985072313881
1	2	0	74	0	0	424.3736988019815
1	2	1	26	0	0	424.3736988019815
5	3	0	75	0	0	424.4538869941795
5	3	1	25	0	0	424.4538869941795
2	4	0	80	0	0	425.4753342273777
2	4	1	20	0	0	425.4753342273777
13	6	0	75	0	0	425.9885782312129
13	6	1	25	1	1	425.9885782312129
