03-10-2015 13-33-06
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
9	14	0	82	0	0	428.14209765907435
9	14	1	18	2	2	428.14209765907435
7	2	0	79	0	0	428.14345154860405
7	2	1	21	0	0	428.14345154860405
4	14	0	76	0	0	428.39490745498597
4	14	1	24	0	0	428.39490745498597
8	4	0	78	0	0	428.7016481467707
8	4	1	22	0	0	428.7016481467707
3	1	0	89	0	0	429.1066735394574
3	1	1	11	0	0	429.1066735394574
3	11	0	73	2	2	430.2164974765106
3	11	1	27	11	11	430.2164974765106
1	11	0	87	0	0	431.0615006570322
1	11	1	13	5	5	431.0615006570322
14	13	0	79	0	0	431.55615745080536
14	13	1	21	0	0	431.55615745080536
13	4	0	87	0	0	432.44498885368586
13	4	1	13	0	0	432.44498885368586
1	12	0	79	0	0	433.0682177414011
1	12	1	21	0	0	433.0682177414011
2	9	0	78	0	0	433.3471393147387
2	9	1	22	1	1	433.3471393147387
3	9	0	79	0	0	433.7607540027602
3	9	1	21	2	2	433.7607540027602
6	10	0	74	0	0	434.12465132898853
6	10	1	26	4	4	434.12465132898853
7	8	0	78	0	0	435.29584344577717
7	8	1	22	2	2	435.29584344577717
6	4	0	71	0	0	435.39052399586564
6	4	1	29	4	4	435.39052399586564
4	11	0	83	0	0	435.8931546940064
4	11	1	17	0	0	435.8931546940064
14	5	0	78	0	0	436.5456545767209
14	5	1	22	11	11	436.5456545767209
9	7	0	82	0	0	437.6460623823222
9	7	1	18	0	0	437.6460623823222
7	9	0	77	0	0	438.82428274429964
7	9	1	23	0	0	438.82428274429964
7	10	0	86	0	0	438.89766895116384
7	10	1	14	0	0	438.89766895116384
8	2	0	80	0	0	439.1454982475094
8	2	1	20	1	1	439.1454982475094
1	14	0	87	0	0	439.3810732190997
1	14	1	13	0	0	439.3810732190997
9	12	0	71	0	0	440.5710190388263
9	12	1	29	0	0	440.5710190388263
14	1	0	79	0	0	442.8148461309934
14	1	1	21	0	0	442.8148461309934
2	10	0	78	0	0	444.1430529476815
2	10	1	22	0	0	444.1430529476815
10	14	0	82	0	0	444.29218673387794
10	14	1	18	2	2	444.29218673387794
4	9	0	77	0	0	446.52519437676517
4	9	1	23	0	0	446.52519437676517
14	4	0	80	0	0	446.9198149095911
14	4	1	20	0	0	446.9198149095911
8	1	0	71	0	0	447.1097890700516
8	1	1	29	2	2	447.1097890700516
9	6	0	83	0	0	447.15696049259964
9	6	1	17	2	2	447.15696049259964
9	4	0	83	0	0	449.3737796994814
9	4	1	17	0	0	449.3737796994814
3	2	0	85	0	0	449.4935064357989
3	2	1	15	0	0	449.4935064357989
3	5	0	84	0	0	449.6084016032106
3	5	1	16	0	0	449.6084016032106
5	8	0	82	0	0	450.090387926832
5	8	1	18	0	0	450.090387926832
10	2	0	82	0	0	450.2809428542103
10	2	1	18	0	0	450.2809428542103
11	5	0	77	0	0	451.6465179093552
11	5	1	23	0	0	451.6465179093552
8	3	0	83	0	0	452.60306368184234
8	3	1	17	0	0	452.60306368184234
10	8	0	83	0	0	454.07367142024594
10	8	1	17	1	1	454.07367142024594
9	8	0	77	0	0	454.6552803573958
9	8	1	23	2	2	454.6552803573958
1	13	0	80	0	0	455.27231235114095
1	13	1	20	0	0	455.27231235114095
2	14	0	75	0	0	456.3766037766449
2	14	1	25	0	0	456.3766037766449
5	7	0	80	0	0	456.59655012485314
5	7	1	20	1	1	456.59655012485314
12	13	0	80	0	0	456.6554254736545
12	13	1	20	0	0	456.6554254736545
5	4	0	74	0	0	456.92916923281683
5	4	1	26	0	0	456.92916923281683
6	5	0	75	0	0	457.34368452827675
6	5	1	25	0	0	457.34368452827675
12	4	0	82	0	0	457.7796571516913
12	4	1	18	0	0	457.7796571516913
13	2	0	75	0	0	458.3775201544575
13	2	1	25	0	0	458.3775201544575
5	9	0	77	0	0	462.96239665031374
5	9	1	23	0	0	462.96239665031374
13	9	0	81	0	0	463.3102734163645
13	9	1	19	0	0	463.3102734163645
4	3	0	85	0	0	464.16912439912966
4	3	1	15	0	0	464.16912439912966
12	8	0	77	0	0	465.15079563819546
12	8	1	23	0	0	465.15079563819546
8	7	0	78	0	0	465.63844497214967
8	7	1	22	1	1	465.63844497214967
12	10	0	84	0	0	465.66987062373835
12	10	1	16	0	0	465.66987062373835
13	1	0	80	0	0	466.65624059392087
13	1	1	20	0	0	466.65624059392087
14	12	0	79	0	0	467.43817863529
14	12	1	21	0	0	467.43817863529
1	5	0	83	0	0	467.53982487723346
1	5	1	17	1	1	467.53982487723346
11	1	0	80	0	0	468.5565164357729
11	1	1	20	2	2	468.5565164357729
4	2	0	73	0	0	468.78078682552103
4	2	1	27	0	0	468.78078682552103
9	1	0	76	0	0	468.8431113245616
9	1	1	24	0	0	468.8431113245616
10	6	0	77	0	0	469.01744395768725
10	6	1	23	2	2	469.01744395768725
10	13	0	84	0	0	470.95076929270994
10	13	1	16	0	0	470.95076929270994
3	14	0	82	0	0	471.36669350664533
3	14	1	18	0	0	471.36669350664533
10	12	0	81	0	0	472.49901605195106
10	12	1	19	0	0	472.49901605195106
6	8	0	78	0	0	472.78686138686555
6	8	1	22	0	0	472.78686138686555
4	6	0	80	0	0	474.5514953674061
4	6	1	20	6	6	474.5514953674061
2	11	0	86	0	0	475.5693853574896
2	11	1	14	9	9	475.5693853574896
11	13	0	88	0	0	477.55305810963137
11	13	1	12	2	2	477.55305810963137
3	13	0	74	0	0	482.69556385377103
3	13	1	26	0	0	482.69556385377103
7	5	0	80	0	0	483.62630650312263
7	5	1	20	1	1	483.62630650312263
4	13	0	77	0	0	486.3420152175106
4	13	1	23	0	0	486.3420152175106
7	12	0	77	0	0	487.24891312651374
7	12	1	23	0	0	487.24891312651374
11	8	0	75	0	0	487.4705280642578
11	8	1	25	2	2	487.4705280642578
3	7	0	77	0	0	487.5645857662643
3	7	1	23	0	0	487.5645857662643
4	12	0	82	0	0	487.8727997657385
4	12	1	18	0	0	487.8727997657385
12	1	0	85	0	0	489.83291873468295
12	1	1	15	0	0	489.83291873468295
2	8	0	82	0	0	490.82983005089187
2	8	1	18	3	3	490.82983005089187
10	1	0	82	0	0	491.6079838639723
10	1	1	18	0	0	491.6079838639723
2	5	0	79	0	0	492.0189597677004
2	5	1	21	0	0	492.0189597677004
10	5	0	74	0	0	493.7060324868904
10	5	1	26	0	0	493.7060324868904
8	13	0	79	0	0	495.42239505672035
8	13	1	21	0	0	495.42239505672035
8	14	0	76	0	0	495.454225848351
8	14	1	24	2	2	495.454225848351
1	8	0	86	0	0	495.8869862699854
1	8	1	14	1	1	495.8869862699854
6	7	0	77	0	0	496.62209370194455
6	7	1	23	7	7	496.62209370194455
9	11	0	75	0	0	497.1167034463163
9	11	1	25	0	0	497.1167034463163
11	14	0	78	0	0	497.1364523327387
11	14	1	22	0	0	497.1364523327387
2	7	0	81	0	0	499.16912858496636
2	7	1	19	1	1	499.16912858496636
4	8	0	84	0	0	501.20954690740814
4	8	1	16	0	0	501.20954690740814
5	10	0	76	0	0	503.01974519492813
5	10	1	24	0	0	503.01974519492813
9	13	0	85	0	0	504.2576106965633
9	13	1	15	0	0	504.2576106965633
6	1	0	79	0	0	504.6595592069594
6	1	1	21	0	0	504.6595592069594
8	6	0	80	0	0	505.4286712736674
8	6	1	20	0	0	505.4286712736674
12	6	0	81	0	0	506.37816459699883
12	6	1	19	0	0	506.37816459699883
8	5	0	82	0	0	515.3053707848111
8	5	1	18	8	8	515.3053707848111
1	6	0	80	0	0	515.6651070202367
1	6	1	20	0	0	515.6651070202367
8	12	0	79	0	0	519.8550025623265
8	12	1	21	0	0	519.8550025623265
11	9	0	80	0	0	523.0034809666912
11	9	1	20	0	0	523.0034809666912
11	10	0	83	0	0	523.485694622492
11	10	1	17	0	0	523.485694622492
13	12	0	78	0	0	535.642127440184
13	12	1	22	1	1	535.642127440184
1	7	0	76	0	0	537.5501013076033
1	7	1	24	0	0	537.5501013076033
11	12	0	87	0	0	547.960802720579
11	12	1	13	0	0	547.960802720579
2	13	0	77	0	0	748.5874821406842
2	13	1	23	0	0	748.5874821406842
14	8	0	81	0	0	753.5479715588178
14	8	1	19	1	1	753.5479715588178
3	12	0	79	0	0	755.1173778531805
3	12	1	21	0	0	755.1173778531805
3	6	0	73	0	0	757.71048200508
3	6	1	27	0	0	757.71048200508
13	7	0	84	0	0	768.1655661097537
13	7	1	16	0	0	768.1655661097537
13	4	0	87	0	0	772.1604831263231
13	4	1	13	1	1	772.1604831263231
12	5	0	80	0	0	775.1727031578739
12	5	1	20	0	0	775.1727031578739
11	6	0	81	0	0	776.6848534082295
11	6	1	19	1	1	776.6848534082295
2	3	0	83	0	0	782.197140896637
2	3	1	17	0	0	782.197140896637
12	3	0	81	0	0	787.3479739708516
12	3	1	19	0	0	787.3479739708516
8	4	0	77	0	0	789.7171426767027
8	4	1	23	0	0	789.7171426767027
1	3	0	80	0	0	792.8271133719402
1	3	1	20	0	0	792.8271133719402
12	7	0	84	0	0	793.2122510428741
12	7	1	16	0	0	793.2122510428741
10	4	0	85	0	0	799.6414222332668
10	4	1	15	0	0	799.6414222332668
14	10	0	77	0	0	799.7795506171055
14	10	1	23	4	4	799.7795506171055
5	14	0	73	0	0	801.9721295760845
5	14	1	27	3	3	801.9721295760845
7	1	0	77	0	0	802.2743448592094
7	1	1	23	0	0	802.2743448592094
4	7	0	80	0	0	804.9729545849183
4	7	1	20	0	0	804.9729545849183
2	12	0	74	0	0	805.8363664681239
2	12	1	26	0	0	805.8363664681239
10	11	0	80	0	0	805.8536644162626
10	11	1	20	0	0	805.8536644162626
3	1	0	82	0	0	808.6384596031523
3	1	1	18	0	0	808.6384596031523
12	14	0	81	0	0	809.1650293897336
12	14	1	19	0	0	809.1650293897336
13	6	0	80	0	0	809.8188608920321
13	6	1	20	1	1	809.8188608920321
14	3	0	70	0	0	809.990156775603
14	3	1	30	2	2	809.990156775603
10	9	0	74	0	0	810.4113350685544
10	9	1	26	0	0	810.4113350685544
13	5	0	80	0	0	810.4880719028296
13	5	1	20	0	0	810.4880719028296
6	13	0	77	0	0	810.865961341448
6	13	1	23	0	0	810.865961341448
5	1	0	88	0	0	812.3910487583994
5	1	1	12	0	0	812.3910487583994
9	7	0	80	0	0	816.799460386041
9	7	1	20	0	0	816.799460386041
7	11	0	79	0	0	817.2790714456754
7	11	1	21	0	0	817.2790714456754
5	12	0	79	0	0	819.5387935540053
5	12	1	21	0	0	819.5387935540053
5	9	0	80	0	0	821.6120166255031
5	9	1	20	0	0	821.6120166255031
13	9	0	83	0	0	822.8682231627694
13	9	1	17	1	1	822.8682231627694
8	10	0	80	0	0	823.5144805037709
8	10	1	20	6	6	823.5144805037709
5	2	0	81	0	0	823.9339462345436
5	2	1	19	0	0	823.9339462345436
13	14	0	83	0	0	825.0321273600338
13	14	1	17	0	0	825.0321273600338
6	2	0	69	0	0	825.2706245986926
6	2	1	31	0	0	825.2706245986926
6	11	0	78	0	0	825.587570024438
6	11	1	22	5	5	825.587570024438
7	6	0	81	0	0	827.1613805208189
7	6	1	19	5	5	827.1613805208189
3	8	0	81	0	0	830.0276157374705
3	8	1	19	0	0	830.0276157374705
6	12	0	76	0	0	830.0909900532455
6	12	1	24	7	7	830.0909900532455
8	2	0	83	0	0	830.892167095431
8	2	1	17	1	1	830.892167095431
11	5	0	79	0	0	831.1104463498899
11	5	1	21	0	0	831.1104463498899
9	14	0	84	0	0	831.3496508050032
9	14	1	16	4	4	831.3496508050032
8	11	0	85	0	0	832.2550323841105
8	11	1	15	5	5	832.2550323841105
4	14	0	76	0	0	832.3505229542598
4	14	1	24	1	1	832.3505229542598
1	4	0	86	0	0	835.0515359903159
1	4	1	14	0	0	835.0515359903159
7	14	0	73	0	0	835.9190271551183
7	14	1	27	5	5	835.9190271551183
1	10	0	83	0	0	836.0225846357426
1	10	1	17	0	0	836.0225846357426
2	14	0	75	0	0	837.0652673973735
2	14	1	25	0	0	837.0652673973735
12	9	0	80	0	0	837.1000397136004
12	9	1	20	0	0	837.1000397136004
4	10	0	76	0	0	837.1344602780317
4	10	1	24	0	0	837.1344602780317
2	6	0	76	0	0	841.7166268737177
2	6	1	24	0	0	841.7166268737177
12	2	0	83	0	0	841.7759155840196
12	2	1	17	0	0	841.7759155840196
13	3	0	78	0	0	842.1982759727825
13	3	1	22	0	0	842.1982759727825
14	2	0	76	0	0	842.2943665300506
14	2	1	24	0	0	842.2943665300506
3	14	0	77	0	0	844.361085174701
3	14	1	23	0	0	844.361085174701
9	5	0	76	0	0	844.6702373141054
9	5	1	24	0	0	844.6702373141054
5	6	0	86	0	0	848.0529475679413
5	6	1	14	3	3	848.0529475679413
14	1	0	82	0	0	848.2233788933429
14	1	1	18	0	0	848.2233788933429
10	7	0	77	0	0	849.5397963427479
10	7	1	23	0	0	849.5397963427479
4	2	0	83	0	0	849.8609320244744
4	2	1	17	0	0	849.8609320244744
9	3	0	81	0	0	850.5542986823768
9	3	1	19	4	4	850.5542986823768
13	8	0	85	0	0	852.3327557160135
13	8	1	15	0	0	852.3327557160135
7	4	0	80	0	0	852.3443506419799
7	4	1	20	0	0	852.3443506419799
14	4	0	75	0	0	854.9275485701365
14	4	1	25	0	0	854.9275485701365
8	13	0	83	0	0	855.6698826458331
8	13	1	17	0	0	855.6698826458331
14	5	0	76	0	0	855.8499725764111
14	5	1	24	5	5	855.8499725764111
13	10	0	82	0	0	857.5752826511351
13	10	1	18	0	0	857.5752826511351
7	5	0	75	0	0	858.6292723212658
7	5	1	25	2	2	858.6292723212658
7	8	0	81	0	0	858.9849228414994
7	8	1	19	2	2	858.9849228414994
1	14	0	80	0	0	859.3501195582985
1	14	1	20	0	0	859.3501195582985
7	13	0	76	0	0	860.2928387198491
7	13	1	24	0	0	860.2928387198491
11	1	0	80	0	0	861.0936819112147
11	1	1	20	5	5	861.0936819112147
11	7	0	85	0	0	861.6686208168595
11	7	1	15	0	0	861.6686208168595
8	1	0	81	0	0	864.2640408685353
8	1	1	19	0	0	864.2640408685353
2	5	0	81	0	0	865.4823452151129
2	5	1	19	0	0	865.4823452151129
9	1	0	89	0	0	866.2393877729824
9	1	1	11	1	1	866.2393877729824
3	2	0	80	0	0	866.3790431466199
3	2	1	20	0	0	866.3790431466199
3	9	0	75	0	0	866.8982475965762
3	9	1	25	1	1	866.8982475965762
11	8	0	76	0	0	867.6944059935369
11	8	1	24	3	3	867.6944059935369
11	2	0	80	0	0	868.4817077663768
11	2	1	20	5	5	868.4817077663768
10	12	0	79	0	0	869.3015153524974
10	12	1	21	1	1	869.3015153524974
2	1	0	73	0	0	871.0588376316168
2	1	1	27	0	0	871.0588376316168
14	9	0	80	0	0	872.1736308958343
14	9	1	20	8	8	872.1736308958343
12	4	0	78	0	0	872.4621683470109
12	4	1	22	0	0	872.4621683470109
6	9	0	76	0	0	872.5527301432672
6	9	1	24	6	6	872.5527301432672
14	6	0	71	0	0	872.7744271949547
14	6	1	29	0	0	872.7744271949547
7	2	0	82	0	0	873.016470054092
7	2	1	18	1	1	873.016470054092
6	14	0	79	0	0	873.0301141588009
6	14	1	21	0	0	873.0301141588009
6	5	0	85	0	0	873.8219926262276
6	5	1	15	2	2	873.8219926262276
7	9	0	79	0	0	874.95063245997
7	9	1	21	0	0	874.95063245997
9	2	0	81	0	0	875.3796478426273
9	2	1	19	1	1	875.3796478426273
13	11	0	79	0	0	875.5045284148331
13	11	1	21	1	1	875.5045284148331
7	3	0	72	0	0	876.0296395407103
7	3	1	28	2	2	876.0296395407103
5	8	0	83	0	0	877.0540162652441
5	8	1	17	4	4	877.0540162652441
3	11	0	79	0	0	877.5917930334476
3	11	1	21	4	4	877.5917930334476
5	3	0	78	0	0	879.14662308399
5	3	1	22	0	0	879.14662308399
4	1	0	76	0	0	879.331816237454
4	1	1	24	1	1	879.331816237454
8	5	0	88	0	0	879.3802704380574
8	5	1	12	2	2	879.3802704380574
9	10	0	85	0	0	880.8207617020222
9	10	1	15	0	0	880.8207617020222
14	7	0	81	0	0	885.1159678977134
14	7	1	19	0	0	885.1159678977134
9	12	0	86	0	0	885.3112014515208
9	12	1	14	0	0	885.3112014515208
9	8	0	84	0	0	885.5321005754785
9	8	1	16	4	4	885.5321005754785
4	5	0	75	0	0	885.7913502382712
4	5	1	25	0	0	885.7913502382712
2	9	0	70	0	0	887.5660481074033
2	9	1	30	0	0	887.5660481074033
11	14	0	83	0	0	888.6883859425742
11	14	1	17	3	3	888.6883859425742
1	13	0	78	0	0	890.8255151183903
1	13	1	22	0	0	890.8255151183903
14	12	0	86	0	0	892.4284849429283
14	12	1	14	0	0	892.4284849429283
1	5	0	81	0	0	892.4339670523027
1	5	1	19	0	0	892.4339670523027
8	9	0	76	0	0	892.9437337789402
8	9	1	24	4	4	892.9437337789402
7	10	0	80	0	0	893.0779781570328
7	10	1	20	0	0	893.0779781570328
9	4	0	81	0	0	893.2654020514727
9	4	1	19	0	0	893.2654020514727
6	10	0	76	0	0	894.1263431070577
6	10	1	24	0	0	894.1263431070577
4	13	0	83	0	0	894.6138463656563
4	13	1	17	3	3	894.6138463656563
8	7	0	80	0	0	894.6696988448755
8	7	1	20	0	0	894.6696988448755
1	2	0	78	0	0	900.9777946210414
1	2	1	22	0	0	900.9777946210414
10	13	0	85	0	0	901.6348724003966
10	13	1	15	0	0	901.6348724003966
10	2	0	81	0	0	901.7617176280371
10	2	1	19	1	1	901.7617176280371
1	11	0	77	0	0	901.7761360384526
1	11	1	23	4	4	901.7761360384526
13	1	0	88	0	0	901.8668474483409
13	1	1	12	0	0	901.8668474483409
1	8	0	86	0	0	902.3614917960113
1	8	1	14	3	3	902.3614917960113
5	7	0	78	0	0	903.2655348196755
5	7	1	22	0	0	903.2655348196755
9	11	0	78	0	0	904.0146278508527
9	11	1	22	0	0	904.0146278508527
1	6	0	83	0	0	904.7602526667216
1	6	1	17	0	0	904.7602526667216
11	4	0	75	0	0	905.3637576795272
11	4	1	25	0	0	905.3637576795272
11	13	0	81	0	0	906.0430927525052
11	13	1	19	3	3	906.0430927525052
2	4	0	84	0	0	907.7645115982657
2	4	1	16	0	0	907.7645115982657
12	8	0	77	0	0	908.4753468096794
12	8	1	23	0	0	908.4753468096794
11	3	0	86	0	0	908.9166299741092
11	3	1	14	2	2	908.9166299741092
10	5	0	80	0	0	909.3530588225977
10	5	1	20	0	0	909.3530588225977
14	13	0	83	0	0	909.7979054333042
14	13	1	17	0	0	909.7979054333042
8	6	0	78	0	0	912.9367673469441
8	6	1	22	0	0	912.9367673469441
10	6	0	83	0	0	913.671220473282
10	6	1	17	2	2	913.671220473282
6	3	0	78	0	0	915.8083556640478
6	3	1	22	0	0	915.8083556640478
12	11	0	77	0	0	917.2423649033758
12	11	1	23	0	0	917.2423649033758
1	9	0	83	0	0	917.9076368513284
1	9	1	17	1	1	917.9076368513284
10	3	0	86	0	0	917.9237404176172
10	3	1	14	1	1	917.9237404176172
4	6	0	83	0	0	918.6873355224425
4	6	1	17	0	0	918.6873355224425
10	14	0	73	0	0	918.7958718230828
10	14	1	27	2	2	918.7958718230828
13	2	0	76	0	0	920.4611353500541
13	2	1	24	0	0	920.4611353500541
4	11	0	81	0	0	921.460347398887
4	11	1	19	0	0	921.460347398887
1	12	0	84	0	0	921.7915407490528
1	12	1	16	0	0	921.7915407490528
13	12	0	82	0	0	925.1839592273044
13	12	1	18	0	0	925.1839592273044
3	7	0	77	0	0	925.8853555093804
3	7	1	23	0	0	925.8853555093804
5	11	0	85	0	0	926.553480690641
5	11	1	15	0	0	926.553480690641
3	4	0	81	0	0	926.8104933377631
3	4	1	19	0	0	926.8104933377631
6	4	0	87	1	1	929.4550117164099
6	4	1	13	2	2	929.4550117164099
3	5	0	79	0	0	932.6813168903885
3	5	1	21	0	0	932.6813168903885
2	10	0	74	0	0	935.7338252075223
2	10	1	26	0	0	935.7338252075223
14	11	0	83	0	0	938.2045176461111
14	11	1	17	0	0	938.2045176461111
2	8	0	82	0	0	938.4457308786024
2	8	1	18	0	0	938.4457308786024
5	13	0	82	0	0	938.6218729725152
5	13	1	18	1	1	938.6218729725152
8	3	0	77	0	0	940.0041612365194
8	3	1	23	0	0	940.0041612365194
6	8	0	87	0	0	940.7963920471731
6	8	1	13	0	0	940.7963920471731
12	10	0	79	0	0	940.923867977324
12	10	1	21	0	0	940.923867977324
10	8	0	72	0	0	942.8738160952076
10	8	1	28	4	4	942.8738160952076
9	6	0	83	0	0	943.607711903223
9	6	1	17	3	3	943.607711903223
3	13	0	71	0	0	944.1946445153898
3	13	1	29	0	0	944.1946445153898
8	14	0	87	0	0	945.6529295863066
8	14	1	13	1	1	945.6529295863066
2	7	0	88	0	0	947.6790559724482
2	7	1	12	0	0	947.6790559724482
6	7	0	82	0	0	949.6823354656531
6	7	1	18	6	6	949.6823354656531
8	12	0	76	0	0	950.7570733217412
8	12	1	24	0	0	950.7570733217412
3	10	0	78	0	0	954.0564122695354
3	10	1	22	0	0	954.0564122695354
5	4	0	79	0	0	957.6993151887569
5	4	1	21	0	0	957.6993151887569
4	12	0	79	0	0	961.5314166386662
4	12	1	21	0	0	961.5314166386662
4	3	0	79	0	0	970.2101558134489
