03-10-2015 16-21-05
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
12	5	0	72	0	0	279.2514180528238
12	5	1	28	0	0	279.2514180528238
6	2	0	79	0	0	280.06903866488295
6	2	1	21	0	0	280.06903866488295
6	11	0	72	0	0	281.3473773354692
6	11	1	28	9	9	281.3473773354692
14	10	0	76	1	1	296.84795403243413
14	10	1	24	9	9	296.84795403243413
10	9	0	82	0	0	303.6975505088485
10	9	1	18	0	0	303.6975505088485
12	9	0	82	0	0	305.3011447453587
12	9	1	18	0	0	305.3011447453587
14	3	0	80	0	0	310.3219362030532
14	3	1	20	4	4	310.3219362030532
2	6	0	79	0	0	311.49302850210256
2	6	1	21	0	0	311.49302850210256
11	7	0	80	0	0	313.06821316068743
11	7	1	20	1	1	313.06821316068743
2	12	0	72	0	0	313.21977181665085
2	12	1	28	0	0	313.21977181665085
6	12	0	78	1	1	314.4242535283272
6	12	1	22	7	7	314.4242535283272
14	7	0	82	0	0	315.20526730253516
14	7	1	18	0	0	315.20526730253516
3	4	0	83	0	0	316.4116931678921
3	4	1	17	4	4	316.4116931678921
10	4	0	79	0	0	317.4958724107209
10	4	1	21	0	0	317.4958724107209
7	11	0	83	0	0	317.87830496492825
7	11	1	17	0	0	317.87830496492825
12	2	0	85	0	0	318.6135613895325
12	2	1	15	0	0	318.6135613895325
10	3	0	80	0	0	320.0404526672158
10	3	1	20	2	2	320.0404526672158
2	3	0	78	0	0	321.8016793943011
2	3	1	22	1	1	321.8016793943011
12	7	0	86	0	0	322.799689422769
12	7	1	14	5	5	322.799689422769
5	12	0	86	0	0	323.64788947309205
5	12	1	14	0	0	323.64788947309205
4	1	0	80	0	0	324.9189016608461
4	1	1	20	2	2	324.9189016608461
3	6	0	83	0	0	325.20757523451573
3	6	1	17	0	0	325.20757523451573
13	10	0	80	0	0	325.40899042278596
13	10	1	20	2	2	325.40899042278596
5	1	0	78	0	0	325.5064178761747
5	1	1	22	0	0	325.5064178761747
4	10	0	82	0	0	325.68942204460114
4	10	1	18	0	0	325.68942204460114
5	14	0	83	1	1	325.8742290855156
5	14	1	17	2	2	325.8742290855156
13	11	0	77	0	0	326.97281668056405
13	11	1	23	4	4	326.97281668056405
14	6	0	86	0	0	327.4736180947561
14	6	1	14	0	0	327.4736180947561
6	3	0	75	0	0	327.6433365973156
6	3	1	25	0	0	327.6433365973156
14	9	0	80	2	2	327.9728268824324
14	9	1	20	7	7	327.9728268824324
12	14	0	77	0	0	329.7670887624777
12	14	1	23	1	1	329.7670887624777
7	1	0	85	0	0	330.9143349690913
7	1	1	15	0	0	330.9143349690913
1	3	0	86	0	0	331.13578809065547
1	3	1	14	0	0	331.13578809065547
8	10	0	75	1	1	331.23826108577003
8	10	1	25	8	8	331.23826108577003
7	6	0	86	0	0	333.0178218786028
7	6	1	14	5	5	333.0178218786028
13	7	0	82	0	0	334.9982950204186
13	7	1	18	1	1	334.9982950204186
4	7	0	80	0	0	335.6068713428944
4	7	1	20	0	0	335.6068713428944
6	13	0	82	0	0	335.73012605652974
6	13	1	18	0	0	335.73012605652974
7	13	0	83	0	0	335.98870855512314
7	13	1	17	0	0	335.98870855512314
