03-10-2015 13-33-06
Fiber utilization

Fiber	Requests	SimTime	Utilization(%)
10 11	1000	23.79774018267725	0.06	0.06
11 9	1000	23.79774018267725	0.34	0.34
2 12	1000	23.79774018267725	0.36	0.36
14 1	1000	23.79774018267725	0.23	0.23
13 1	1000	23.79774018267725	0.28	0.28
1 14	1000	23.79774018267725	0.21	0.21
11 10	1000	23.79774018267725	0.16	0.16
1 13	1000	23.79774018267725	0.34	0.34
2 1	1000	23.79774018267725	0.19	0.19
1 2	1000	23.79774018267725	0.22	0.22
9 11	1000	23.79774018267725	0.3	0.3
3 13	1000	23.79774018267725	0.39	0.39
12 3	1000	23.79774018267725	0.29	0.29
8 3	1000	23.79774018267725	0.2	0.2
3 12	1000	23.79774018267725	0.24	0.24
3 8	1000	23.79774018267725	0.24	0.24
14 2	1000	23.79774018267725	0.15	0.15
12 2	1000	23.79774018267725	0.43	0.43
2 14	1000	23.79774018267725	0.15	0.15
9 4	1000	23.79774018267725	0.14	0.14
13 3	1000	23.79774018267725	0.43	0.43
4 9	1000	23.79774018267725	0.33	0.33
4 12	1000	23.79774018267725	0.26	0.26
10 4	1000	23.79774018267725	0.26	0.26
4 10	1000	23.79774018267725	0.14	0.14
9 7	1000	23.79774018267725	0.37	0.37
7 10	1000	23.79774018267725	0.25	0.25
10 7	1000	23.79774018267725	0.19	0.19
7 13	1000	23.79774018267725	0.5	0.5
6 14	1000	23.79774018267725	0.34	0.34
11 6	1000	23.79774018267725	0.39	0.39
7 9	1000	23.79774018267725	0.41	0.41
14 6	1000	23.79774018267725	0.38	0.38
6 8	1000	23.79774018267725	0.3	0.3
12 5	1000	23.79774018267725	0.32	0.32
12 4	1000	23.79774018267725	0.41	0.41
8 6	1000	23.79774018267725	0.21	0.21
6 11	1000	23.79774018267725	0.62	0.62
5 11	1000	23.79774018267725	0.19	0.19
11 5	1000	23.79774018267725	0.23	0.23
5 12	1000	23.79774018267725	0.33	0.33
13 7	1000	23.79774018267725	0.49	0.49
10 11	1000	48.311244519626676	0.14	0.14
11 9	1000	48.311244519626676	0.5	0.5
2 12	1000	48.311244519626676	0.38	0.38
14 1	1000	48.311244519626676	0.11	0.11
13 1	1000	48.311244519626676	0.37	0.37
1 14	1000	48.311244519626676	0.26	0.26
11 10	1000	48.311244519626676	0.21	0.21
1 13	1000	48.311244519626676	0.42	0.42
2 1	1000	48.311244519626676	0.17	0.17
1 2	1000	48.311244519626676	0.24	0.24
9 11	1000	48.311244519626676	0.28	0.28
3 13	1000	48.311244519626676	0.34	0.34
12 3	1000	48.311244519626676	0.31	0.31
8 3	1000	48.311244519626676	0.15	0.15
3 12	1000	48.311244519626676	0.22	0.22
3 8	1000	48.311244519626676	0.26	0.26
14 2	1000	48.311244519626676	0.25	0.25
12 2	1000	48.311244519626676	0.35	0.35
2 14	1000	48.311244519626676	0.19	0.19
9 4	1000	48.311244519626676	0.21	0.21
13 3	1000	48.311244519626676	0.42	0.42
4 9	1000	48.311244519626676	0.37	0.37
4 12	1000	48.311244519626676	0.29	0.29
10 4	1000	48.311244519626676	0.22	0.22
4 10	1000	48.311244519626676	0.12	0.12
9 7	1000	48.311244519626676	0.31	0.31
7 10	1000	48.311244519626676	0.11	0.11
10 7	1000	48.311244519626676	0.17	0.17
7 13	1000	48.311244519626676	0.34	0.34
6 14	1000	48.311244519626676	0.29	0.29
11 6	1000	48.311244519626676	0.48	0.48
7 9	1000	48.311244519626676	0.31	0.31
14 6	1000	48.311244519626676	0.41	0.41
6 8	1000	48.311244519626676	0.32	0.32
12 5	1000	48.311244519626676	0.32	0.32
12 4	1000	48.311244519626676	0.51	0.51
8 6	1000	48.311244519626676	0.38	0.38
6 11	1000	48.311244519626676	0.55	0.55
5 11	1000	48.311244519626676	0.28	0.28
11 5	1000	48.311244519626676	0.2	0.2
5 12	1000	48.311244519626676	0.32	0.32
13 7	1000	48.311244519626676	0.44	0.44
10 11	1000	72.26250177911614	0.13	0.13
11 9	1000	72.26250177911614	0.39	0.39
2 12	1000	72.26250177911614	0.4	0.4
14 1	1000	72.26250177911614	0.35	0.35
13 1	1000	72.26250177911614	0.24	0.24
1 14	1000	72.26250177911614	0.08	0.08
11 10	1000	72.26250177911614	0.2	0.2
1 13	1000	72.26250177911614	0.25	0.25
2 1	1000	72.26250177911614	0.14	0.14
1 2	1000	72.26250177911614	0.13	0.13
9 11	1000	72.26250177911614	0.48	0.48
3 13	1000	72.26250177911614	0.19	0.19
12 3	1000	72.26250177911614	0.32	0.32
8 3	1000	72.26250177911614	0.26	0.26
3 12	1000	72.26250177911614	0.2	0.2
3 8	1000	72.26250177911614	0.32	0.32
14 2	1000	72.26250177911614	0.19	0.19
12 2	1000	72.26250177911614	0.35	0.35
2 14	1000	72.26250177911614	0.23	0.23
9 4	1000	72.26250177911614	0.16	0.16
13 3	1000	72.26250177911614	0.28	0.28
4 9	1000	72.26250177911614	0.3	0.3
4 12	1000	72.26250177911614	0.57	0.57
10 4	1000	72.26250177911614	0.33	0.33
4 10	1000	72.26250177911614	0.11	0.11
9 7	1000	72.26250177911614	0.35	0.35
7 10	1000	72.26250177911614	0.15	0.15
10 7	1000	72.26250177911614	0.07	0.07
7 13	1000	72.26250177911614	0.33	0.33
6 14	1000	72.26250177911614	0.52	0.52
11 6	1000	72.26250177911614	0.67	0.67
7 9	1000	72.26250177911614	0.25	0.25
14 6	1000	72.26250177911614	0.42	0.42
6 8	1000	72.26250177911614	0.4	0.4
12 5	1000	72.26250177911614	0.26	0.26
12 4	1000	72.26250177911614	0.49	0.49
8 6	1000	72.26250177911614	0.39	0.39
6 11	1000	72.26250177911614	0.51	0.51
5 11	1000	72.26250177911614	0.13	0.13
11 5	1000	72.26250177911614	0.26	0.26
5 12	1000	72.26250177911614	0.27	0.27
13 7	1000	72.26250177911614	0.34	0.34
10 11	1000	97.24907857875847	0.17	0.17
11 9	1000	97.24907857875847	0.37	0.37
2 12	1000	97.24907857875847	0.38	0.38
14 1	1000	97.24907857875847	0.23	0.23
13 1	1000	97.24907857875847	0.38	0.38
1 14	1000	97.24907857875847	0.23	0.23
11 10	1000	97.24907857875847	0.19	0.19
1 13	1000	97.24907857875847	0.25	0.25
2 1	1000	97.24907857875847	0.15	0.15
1 2	1000	97.24907857875847	0.22	0.22
9 11	1000	97.24907857875847	0.52	0.52
3 13	1000	97.24907857875847	0.31	0.31
12 3	1000	97.24907857875847	0.34	0.34
8 3	1000	97.24907857875847	0.26	0.26
3 12	1000	97.24907857875847	0.43	0.43
3 8	1000	97.24907857875847	0.38	0.38
14 2	1000	97.24907857875847	0.23	0.23
12 2	1000	97.24907857875847	0.25	0.25
2 14	1000	97.24907857875847	0.11	0.11
9 4	1000	97.24907857875847	0.25	0.25
13 3	1000	97.24907857875847	0.53	0.53
4 9	1000	97.24907857875847	0.3	0.3
4 12	1000	97.24907857875847	0.3	0.3
10 4	1000	97.24907857875847	0.16	0.16
4 10	1000	97.24907857875847	0.1	0.1
9 7	1000	97.24907857875847	0.36	0.36
7 10	1000	97.24907857875847	0.19	0.19
10 7	1000	97.24907857875847	0.14	0.14
7 13	1000	97.24907857875847	0.5	0.5
6 14	1000	97.24907857875847	0.56	0.56
11 6	1000	97.24907857875847	0.68	0.68
7 9	1000	97.24907857875847	0.47	0.47
14 6	1000	97.24907857875847	0.43	0.43
6 8	1000	97.24907857875847	0.56	0.56
12 5	1000	97.24907857875847	0.08	0.08
12 4	1000	97.24907857875847	0.35	0.35
8 6	1000	97.24907857875847	0.38	0.38
6 11	1000	97.24907857875847	0.45	0.45
5 11	1000	97.24907857875847	0.37	0.37
11 5	1000	97.24907857875847	0.32	0.32
5 12	1000	97.24907857875847	0.13	0.13
13 7	1000	97.24907857875847	0.5	0.5
10 11	1000	121.28601649407553	0.17	0.17
11 9	1000	121.28601649407553	0.36	0.36
2 12	1000	121.28601649407553	0.46	0.46
14 1	1000	121.28601649407553	0.24	0.24
13 1	1000	121.28601649407553	0.41	0.41
1 14	1000	121.28601649407553	0.18	0.18
11 10	1000	121.28601649407553	0.24	0.24
1 13	1000	121.28601649407553	0.29	0.29
2 1	1000	121.28601649407553	0.12	0.12
1 2	1000	121.28601649407553	0.28	0.28
9 11	1000	121.28601649407553	0.3	0.3
3 13	1000	121.28601649407553	0.38	0.38
12 3	1000	121.28601649407553	0.53	0.53
8 3	1000	121.28601649407553	0.3	0.3
3 12	1000	121.28601649407553	0.32	0.32
3 8	1000	121.28601649407553	0.31	0.31
14 2	1000	121.28601649407553	0.23	0.23
12 2	1000	121.28601649407553	0.48	0.48
2 14	1000	121.28601649407553	0.19	0.19
9 4	1000	121.28601649407553	0.22	0.22
13 3	1000	121.28601649407553	0.34	0.34
4 9	1000	121.28601649407553	0.5	0.5
4 12	1000	121.28601649407553	0.52	0.52
10 4	1000	121.28601649407553	0.2	0.2
4 10	1000	121.28601649407553	0.06	0.06
9 7	1000	121.28601649407553	0.43	0.43
7 10	1000	121.28601649407553	0.27	0.27
10 7	1000	121.28601649407553	0.12	0.12
7 13	1000	121.28601649407553	0.41	0.41
6 14	1000	121.28601649407553	0.42	0.42
11 6	1000	121.28601649407553	0.48	0.48
7 9	1000	121.28601649407553	0.32	0.32
14 6	1000	121.28601649407553	0.5	0.5
6 8	1000	121.28601649407553	0.29	0.29
12 5	1000	121.28601649407553	0.16	0.16
12 4	1000	121.28601649407553	0.48	0.48
8 6	1000	121.28601649407553	0.41	0.41
6 11	1000	121.28601649407553	0.66	0.66
5 11	1000	121.28601649407553	0.41	0.41
11 5	1000	121.28601649407553	0.28	0.28
5 12	1000	121.28601649407553	0.36	0.36
13 7	1000	121.28601649407553	0.59	0.59
10 11	1000	144.6575085402392	0.19	0.19
11 9	1000	144.6575085402392	0.18	0.18
2 12	1000	144.6575085402392	0.435	0.435
14 1	1000	144.6575085402392	0.275	0.275
13 1	1000	144.6575085402392	0.19	0.19
1 14	1000	144.6575085402392	0.185	0.185
11 10	1000	144.6575085402392	0.095	0.095
1 13	1000	144.6575085402392	0.345	0.345
2 1	1000	144.6575085402392	0.24	0.24
1 2	1000	144.6575085402392	0.325	0.325
9 11	1000	144.6575085402392	0.125	0.125
3 13	1000	144.6575085402392	0.26	0.26
12 3	1000	144.6575085402392	0.305	0.305
8 3	1000	144.6575085402392	0.295	0.295
3 12	1000	144.6575085402392	0.25	0.25
3 8	1000	144.6575085402392	0.2	0.2
14 2	1000	144.6575085402392	0.095	0.095
12 2	1000	144.6575085402392	0.45	0.45
2 14	1000	144.6575085402392	0.26	0.26
9 4	1000	144.6575085402392	0.075	0.075
13 3	1000	144.6575085402392	0.17	0.17
4 9	1000	144.6575085402392	0.15	0.15
4 12	1000	144.6575085402392	0.25	0.25
10 4	1000	144.6575085402392	0.12	0.12
4 10	1000	144.6575085402392	0.265	0.265
9 7	1000	144.6575085402392	0.2	0.2
7 10	1000	144.6575085402392	0.155	0.155
10 7	1000	144.6575085402392	0.08	0.08
7 13	1000	144.6575085402392	0.23	0.23
6 14	1000	144.6575085402392	0.305	0.305
11 6	1000	144.6575085402392	0.445	0.445
7 9	1000	144.6575085402392	0.195	0.195
14 6	1000	144.6575085402392	0.215	0.215
6 8	1000	144.6575085402392	0.36	0.36
12 5	1000	144.6575085402392	0.165	0.165
12 4	1000	144.6575085402392	0.38	0.38
8 6	1000	144.6575085402392	0.19	0.19
6 11	1000	144.6575085402392	0.215	0.215
5 11	1000	144.6575085402392	0.155	0.155
11 5	1000	144.6575085402392	0.19	0.19
5 12	1000	144.6575085402392	0.33	0.33
13 7	1000	144.6575085402392	0.38	0.38
10 11	1000	168.04533142718196	0.04	0.04
11 9	1000	168.04533142718196	0.3	0.3
2 12	1000	168.04533142718196	0.285	0.285
14 1	1000	168.04533142718196	0.26	0.26
13 1	1000	168.04533142718196	0.23	0.23
1 14	1000	168.04533142718196	0.27	0.27
11 10	1000	168.04533142718196	0.135	0.135
1 13	1000	168.04533142718196	0.46	0.46
2 1	1000	168.04533142718196	0.18	0.18
1 2	1000	168.04533142718196	0.215	0.215
9 11	1000	168.04533142718196	0.555	0.555
3 13	1000	168.04533142718196	0.355	0.355
12 3	1000	168.04533142718196	0.27	0.27
8 3	1000	168.04533142718196	0.33	0.33
3 12	1000	168.04533142718196	0.36	0.36
3 8	1000	168.04533142718196	0.26	0.26
14 2	1000	168.04533142718196	0.15	0.15
12 2	1000	168.04533142718196	0.36	0.36
2 14	1000	168.04533142718196	0.14	0.14
9 4	1000	168.04533142718196	0.43	0.43
13 3	1000	168.04533142718196	0.52	0.52
4 9	1000	168.04533142718196	0.285	0.285
4 12	1000	168.04533142718196	0.535	0.535
10 4	1000	168.04533142718196	0.11	0.11
4 10	1000	168.04533142718196	0.195	0.195
9 7	1000	168.04533142718196	0.485	0.485
7 10	1000	168.04533142718196	0.16	0.16
10 7	1000	168.04533142718196	0.1	0.1
7 13	1000	168.04533142718196	0.365	0.365
6 14	1000	168.04533142718196	0.365	0.365
11 6	1000	168.04533142718196	0.54	0.54
7 9	1000	168.04533142718196	0.405	0.405
14 6	1000	168.04533142718196	0.53	0.53
6 8	1000	168.04533142718196	0.43	0.43
12 5	1000	168.04533142718196	0.37	0.37
12 4	1000	168.04533142718196	0.165	0.165
8 6	1000	168.04533142718196	0.415	0.415
6 11	1000	168.04533142718196	0.49	0.49
5 11	1000	168.04533142718196	0.205	0.205
11 5	1000	168.04533142718196	0.225	0.225
5 12	1000	168.04533142718196	0.22	0.22
13 7	1000	168.04533142718196	0.395	0.395
10 11	1000	191.64205026644433	0.31	0.31
11 9	1000	191.64205026644433	0.385	0.385
2 12	1000	191.64205026644433	0.385	0.385
14 1	1000	191.64205026644433	0.26	0.26
13 1	1000	191.64205026644433	0.44	0.44
1 14	1000	191.64205026644433	0.19	0.19
11 10	1000	191.64205026644433	0.12	0.12
1 13	1000	191.64205026644433	0.35	0.35
2 1	1000	191.64205026644433	0.11	0.11
1 2	1000	191.64205026644433	0.25	0.25
9 11	1000	191.64205026644433	0.29	0.29
3 13	1000	191.64205026644433	0.365	0.365
12 3	1000	191.64205026644433	0.3	0.3
8 3	1000	191.64205026644433	0.435	0.435
3 12	1000	191.64205026644433	0.36	0.36
3 8	1000	191.64205026644433	0.34	0.34
14 2	1000	191.64205026644433	0.2	0.2
12 2	1000	191.64205026644433	0.43	0.43
2 14	1000	191.64205026644433	0.19	0.19
9 4	1000	191.64205026644433	0.47	0.47
13 3	1000	191.64205026644433	0.56	0.56
4 9	1000	191.64205026644433	0.23	0.23
4 12	1000	191.64205026644433	0.38	0.38
10 4	1000	191.64205026644433	0.16	0.16
4 10	1000	191.64205026644433	0.14	0.14
9 7	1000	191.64205026644433	0.41	0.41
7 10	1000	191.64205026644433	0.2	0.2
10 7	1000	191.64205026644433	0.12	0.12
7 13	1000	191.64205026644433	0.51	0.51
6 14	1000	191.64205026644433	0.46	0.46
11 6	1000	191.64205026644433	0.485	0.485
7 9	1000	191.64205026644433	0.38	0.38
14 6	1000	191.64205026644433	0.44	0.44
6 8	1000	191.64205026644433	0.33	0.33
12 5	1000	191.64205026644433	0.26	0.26
12 4	1000	191.64205026644433	0.285	0.285
8 6	1000	191.64205026644433	0.52	0.52
