03-10-2015 12-58-28
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
5	3	0	75	0	0	530.5661999824539
5	3	1	25	0	0	530.5661999824539
2	4	0	80	0	0	531.8430062353983
2	4	1	20	0	0	531.8430062353983
13	6	0	75	0	0	532.4845598390344
13	6	1	25	0	0	532.4845598390344
9	14	0	82	0	0	535.1764532447472
9	14	1	18	0	0	535.1764532447472
7	2	0	79	0	0	535.1781456029627
7	2	1	21	0	0	535.1781456029627
4	14	0	76	0	0	535.492464799465
4	14	1	24	0	0	535.492464799465
8	4	0	78	0	0	535.8758898267929
8	4	1	22	1	1	535.8758898267929
3	1	0	89	0	0	536.382170461932
3	1	1	11	0	0	536.382170461932
3	11	0	73	0	0	537.7694473534261
3	11	1	27	4	4	537.7694473534261
1	11	0	87	0	0	538.8256990222163
1	11	1	13	1	1	538.8256990222163
14	13	0	79	0	0	539.4440186640187
14	13	1	21	0	0	539.4440186640187
13	4	0	87	0	0	540.555055491107
13	4	1	13	0	0	540.555055491107
1	12	0	79	0	0	541.3340898993342
1	12	1	21	0	0	541.3340898993342
2	9	0	78	0	0	541.6827411045502
2	9	1	22	1	1	541.6827411045502
3	9	0	79	0	0	542.1997583354081
3	9	1	21	0	0	542.1997583354081
6	10	0	74	0	0	542.6546289997517
6	10	1	26	0	0	542.6546289997517
7	8	0	78	0	0	544.1186159483796
7	8	1	22	0	0	544.1186159483796
6	4	0	71	0	0	544.2369663775122
6	4	1	29	4	4	544.2369663775122
4	11	0	83	0	0	544.8652533780053
4	11	1	17	0	0	544.8652533780053
14	5	0	78	0	0	545.6808764500723
14	5	1	22	2	2	545.6808764500723
9	7	0	82	0	0	547.0563832029575
9	7	1	18	0	0	547.0563832029575
7	9	0	77	0	0	548.5291554388837
7	9	1	23	0	0	548.5291554388837
7	10	0	86	0	0	548.6208879971193
7	10	1	14	0	0	548.6208879971193
8	2	0	80	0	0	548.9306739409767
8	2	1	20	0	0	548.9306739409767
1	14	0	87	0	0	549.2251420123449
1	14	1	13	0	0	549.2251420123449
9	12	0	71	0	0	550.7125710384481
9	12	1	29	1	1	550.7125710384481
14	1	0	79	0	0	553.5173487780029
14	1	1	21	0	0	553.5173487780029
2	10	0	78	0	0	555.177603672855
2	10	1	22	0	0	555.177603672855
10	14	0	82	0	0	555.3640204984641
10	14	1	18	0	0	555.3640204984641
4	9	0	77	0	0	558.1552739559565
4	9	1	23	0	0	558.1552739559565
14	4	0	80	0	0	558.6485485446742
14	4	1	20	0	0	558.6485485446742
8	1	0	71	0	0	558.8860157266188
8	1	1	29	0	0	558.8860157266188
9	6	0	83	0	0	558.9449798760263
9	6	1	17	1	1	558.9449798760263
9	4	0	83	0	0	561.715997832706
9	4	1	17	0	0	561.715997832706
3	2	0	85	0	0	561.8656559262498
3	2	1	15	0	0	561.8656559262498
3	5	0	84	0	0	562.0092745718504
3	5	1	16	0	0	562.0092745718504
5	8	0	82	0	0	562.6117561605523
5	8	1	18	0	0	562.6117561605523
10	2	0	82	0	0	562.849949299559
10	2	1	18	1	1	562.849949299559
11	5	0	77	0	0	564.5569143904668
11	5	1	23	0	0	564.5569143904668
8	3	0	83	0	0	565.7525939947027
8	3	1	17	0	0	565.7525939947027
10	8	0	83	0	0	567.5908496529443
10	8	1	17	0	0	567.5908496529443
9	8	0	77	0	0	568.3178592365878
9	8	1	23	0	0	568.3178592365878
1	13	0	80	0	0	569.0891475442703
1	13	1	20	0	0	569.0891475442703
2	14	0	75	0	0	570.4695088114319
2	14	1	25	0	0	570.4695088114319
5	7	0	80	0	0	570.7444411462384
5	7	1	20	0	0	570.7444411462384
12	13	0	80	0	0	570.8180351715096
12	13	1	20	0	0	570.8180351715096
5	4	0	74	0	0	571.1602141231419
5	4	1	26	0	0	571.1602141231419
6	5	0	75	0	0	571.678357110838
6	5	1	25	0	0	571.678357110838
12	4	0	82	0	0	572.2233216999001
12	4	1	18	0	0	572.2233216999001
13	2	0	75	0	0	572.9706488211907
13	2	1	25	0	0	572.9706488211907
5	9	0	77	0	0	578.7017319242859
5	9	1	23	0	0	578.7017319242859
13	9	0	81	0	0	579.1365769321445
13	9	1	19	0	0	579.1365769321445
4	3	0	85	0	0	580.2101383159351
4	3	1	15	0	0	580.2101383159351
12	8	0	77	0	0	581.4372246848023
12	8	1	23	0	0	581.4372246848023
8	7	0	78	0	0	582.0467850209604
8	7	1	22	0	0	582.0467850209604
12	10	0	84	0	0	582.0860669996548
12	10	1	16	0	0	582.0860669996548
13	1	0	80	0	0	583.3190267695904
13	1	1	20	0	0	583.3190267695904
14	12	0	79	0	0	584.2964471866093
14	12	1	21	0	0	584.2964471866093
1	5	0	83	0	0	584.4235047115433
1	5	1	17	0	0	584.4235047115433
11	1	0	80	0	0	585.6943663841464
11	1	1	20	1	1	585.6943663841464
4	2	0	73	0	0	585.9747037590733
4	2	1	27	1	1	585.9747037590733
9	1	0	76	0	0	586.0526092127276
9	1	1	24	0	0	586.0526092127276
10	6	0	77	0	0	586.2705245282064
10	6	1	23	1	1	586.2705245282064
10	13	0	84	0	0	588.6871759190012
10	13	1	16	0	0	588.6871759190012
3	14	0	82	0	0	589.2070800509472
3	14	1	18	0	0	589.2070800509472
10	12	0	81	0	0	590.6224801413347
10	12	1	19	0	0	590.6224801413347
6	8	0	78	0	0	590.9822860241586
6	8	1	22	0	0	590.9822860241586
4	6	0	80	0	0	593.1880736823795
4	6	1	20	3	3	593.1880736823795
2	11	0	86	0	0	594.4604333911411
2	11	1	14	3	3	594.4604333911411
11	13	0	88	0	0	596.9400189158864
