03-10-2015 12-56-59
Fiber utilization

Fiber	Requests	SimTime	Utilization(%)
10 11	1000	39.662958053912845	0.06	0.06
11 9	1000	39.662958053912845	0.19	0.19
2 12	1000	39.662958053912845	0.28	0.28
14 1	1000	39.662958053912845	0.2	0.2
13 1	1000	39.662958053912845	0.17	0.17
1 14	1000	39.662958053912845	0.19	0.19
11 10	1000	39.662958053912845	0.11	0.11
1 13	1000	39.662958053912845	0.22	0.22
2 1	1000	39.662958053912845	0.06	0.06
1 2	1000	39.662958053912845	0.16	0.16
9 11	1000	39.662958053912845	0.17	0.17
3 13	1000	39.662958053912845	0.28	0.28
12 3	1000	39.662958053912845	0.17	0.17
8 3	1000	39.662958053912845	0.11	0.11
3 12	1000	39.662958053912845	0.14	0.14
3 8	1000	39.662958053912845	0.17	0.17
14 2	1000	39.662958053912845	0.08	0.08
12 2	1000	39.662958053912845	0.18	0.18
2 14	1000	39.662958053912845	0.08	0.08
9 4	1000	39.662958053912845	0.12	0.12
13 3	1000	39.662958053912845	0.25	0.25
4 9	1000	39.662958053912845	0.21	0.21
4 12	1000	39.662958053912845	0.13	0.13
10 4	1000	39.662958053912845	0.15	0.15
4 10	1000	39.662958053912845	0.09	0.09
9 7	1000	39.662958053912845	0.2	0.2
7 10	1000	39.662958053912845	0.14	0.14
10 7	1000	39.662958053912845	0.13	0.13
7 13	1000	39.662958053912845	0.29	0.29
6 14	1000	39.662958053912845	0.25	0.25
11 6	1000	39.662958053912845	0.19	0.19
7 9	1000	39.662958053912845	0.26	0.26
14 6	1000	39.662958053912845	0.26	0.26
6 8	1000	39.662958053912845	0.16	0.16
12 5	1000	39.662958053912845	0.22	0.22
12 4	1000	39.662958053912845	0.23	0.23
8 6	1000	39.662958053912845	0.17	0.17
6 11	1000	39.662958053912845	0.46	0.46
5 11	1000	39.662958053912845	0.09	0.09
11 5	1000	39.662958053912845	0.21	0.21
5 12	1000	39.662958053912845	0.1	0.1
13 7	1000	39.662958053912845	0.37	0.37
10 11	1000	80.5188581018751	0.12	0.12
11 9	1000	80.5188581018751	0.31	0.31
2 12	1000	80.5188581018751	0.23	0.23
14 1	1000	80.5188581018751	0.1	0.1
13 1	1000	80.5188581018751	0.23	0.23
1 14	1000	80.5188581018751	0.14	0.14
11 10	1000	80.5188581018751	0.09	0.09
1 13	1000	80.5188581018751	0.2	0.2
2 1	1000	80.5188581018751	0.14	0.14
1 2	1000	80.5188581018751	0.16	0.16
9 11	1000	80.5188581018751	0.21	0.21
3 13	1000	80.5188581018751	0.26	0.26
12 3	1000	80.5188581018751	0.24	0.24
8 3	1000	80.5188581018751	0.1	0.1
3 12	1000	80.5188581018751	0.17	0.17
3 8	1000	80.5188581018751	0.18	0.18
14 2	1000	80.5188581018751	0.18	0.18
12 2	1000	80.5188581018751	0.2	0.2
2 14	1000	80.5188581018751	0.12	0.12
